Alpha,Loss YCF Y,ATE YCF Y,ACC YCF Y,Loss YCF MANUAL,ATE YCF MANUAL,ACC YCF MANUAL,Loss YCF RAND,ATE YCF RAND,ACC YCF RAND
0.0,0.5936797109673301,0.0016829128609358035,0.6955,0.6296331443255435,-0.0009342639865373981,0.6955,0.6995118834432082,-9.445333484958685e-06,0.3045
0.033,0.5913587724691902,0.0018262449053931817,0.6955,0.6263540044725804,-0.0007002425493325415,0.6955,0.687873651937168,1.4685095857114305e-05,0.6955
0.066,0.5890575408477251,0.001973536254802344,0.6955,0.6231692228032496,-0.00048029327218301887,0.6955,0.6776498804620542,4.089048203348433e-05,0.6955
0.1,0.586710536089935,0.0021292527238394587,0.6955,0.6199529524420037,-0.00026497361253985385,0.6955,0.6682327747352051,7.545754631699264e-05,0.6955
0.2,0.5799823691735502,0.002609726833013193,0.6955,0.6106087564897361,0.00033258143981573784,0.6955,0.6447179617206988,0.00026641264924387453,0.6955
0.3,0.5735711039880677,0.0031247336392652425,0.6955,0.6010957281709568,0.0009305251298010742,0.6955,0.6243830986596779,0.0006692833244023033,0.6955
0.4,0.5675099439219626,0.0036793603401502617,0.6955,0.5913294742440116,0.001580390222985617,0.6955,0.6054989516730193,0.0013377039031478022,0.6955
0.5,0.5617857463095751,0.004281998746282989,0.6955,0.5815100234382727,0.0023175649083938543,0.6955,0.5882651548449674,0.0022353156413378317,0.6955
0.6,0.5563525968455845,0.004942627103480923,0.6955,0.5718841731194435,0.003170186442493006,0.6955,0.5734839578733112,0.0032720522391903595,0.6955
0.7,0.5511484848827313,0.005671399830250223,0.6955,0.5625877881664626,0.004166922665461481,0.6955,0.5614303930147726,0.004387012289981618,0.6955
0.8,0.5461084689783426,0.006477800297176262,0.6955,0.5536209401243162,0.005340003927817194,0.6955,0.5516870898828917,0.005580531016568524,0.6955
0.9,0.5411729753276321,0.007370279827008441,0.696,0.5448954759631021,0.006724442054380053,0.6955,0.5435309917547015,0.006889673326744283,0.6955
1.0,0.5362922424126553,0.008356164224568419,0.6965,0.5362922424126553,0.008356164224568419,0.6965,0.5362922424126553,0.008356164224568419,0.6965
