Alpha,Loss YCF Y,ATE YCF Y,ACC YCF Y,Loss YCF MANUAL,ATE YCF MANUAL,ACC YCF MANUAL,Loss YCF RAND,ATE YCF RAND,ACC YCF RAND
0.0,0.5995066365730277,0.00969311928458405,0.662,0.7146847470012797,-0.009373159265553599,0.651,0.698144636503865,-8.749788096729105e-06,0.349
0.033,0.5967346506434321,0.011048271186796521,0.663,0.6973260952838709,-0.007137474480572892,0.651,0.6904041637515468,1.5006546105533758e-05,0.651
0.066,0.594068735986862,0.012498306253204472,0.6645,0.6837191100292569,-0.005369585672758026,0.651,0.6834407743372144,5.498245045831851e-05,0.651
0.1,0.5914490834066849,0.014079813566548971,0.6635,0.6725712907471696,-0.003931263206852442,0.651,0.6763048458976195,0.00015057192290035548,0.651
0.2,0.5846181914510056,0.0191158257925097,0.664,0.6504186541547964,-0.0011341750324658229,0.651,0.6520861307733422,0.001100994347390638,0.6515
0.3,0.579192968760223,0.02446909755459925,0.665,0.635435814333318,0.0009233101745329542,0.651,0.6288709456033664,0.0036081782444451482,0.6615
0.4,0.5750550631693686,0.029887188681427368,0.666,0.6213950792941878,0.0038420634286382427,0.651,0.6083295019834448,0.008592487208322619,0.6645
0.5,0.5719231601021799,0.03521792739395524,0.6675,0.6067129484623445,0.008914302800639873,0.651,0.591419600072762,0.015939585234110765,0.664
0.6,0.5695000729853437,0.04039084738430332,0.67,0.5927429327558005,0.01652144769269226,0.655,0.5794688227532856,0.024616890437042738,0.665
0.7,0.5675461536773051,0.0453913809548987,0.6685,0.58145116724633,0.02601925439141839,0.6605,0.5720077238410801,0.03370628285455024,0.669
0.8,0.5658929119632464,0.050237052273851224,0.674,0.5732223241803983,0.03662451877711714,0.6625,0.5675852015224828,0.0426631731296111,0.668
0.9,0.5644305068757614,0.054960029197092086,0.676,0.5673642780972895,0.04787955848388903,0.671,0.5648909397756033,0.051290765472501,0.675
1.0,0.5630902228227564,0.059596459474591024,0.679,0.5630902228227564,0.059596459474591024,0.679,0.5630902228227564,0.059596459474591024,0.679
