,0,1,2,3,4,5,6
0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,1.0,0.0,0.0,1.0,1.0
3,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.0,1.0,0.0,1.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,18.0,1.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,10.0,1.0,0.0,0.0,0.0,0.0,0.0
13,1.0,0.0,0.0,1.0,0.0,0.0,0.0
14,11.0,1.0,1.0,0.0,0.0,0.0,0.0
15,0.0,1.0,0.0,1.0,0.0,0.0,1.0
16,1.0,0.0,0.0,1.0,0.0,0.0,0.0
17,2.0,0.0,0.0,0.0,0.0,0.0,1.0
18,5.0,0.0,0.0,0.0,0.0,0.0,0.0
19,3.0,0.0,0.0,0.0,0.0,1.0,0.0
20,3.0,1.0,0.0,1.0,0.0,0.0,0.0
21,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,3.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2.0,1.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,1.0,0.0,0.0,0.0,1.0
25,0.0,0.0,0.0,0.0,0.0,1.0,1.0
26,7.0,1.0,0.0,0.0,0.0,0.0,1.0
27,6.0,1.0,0.0,0.0,0.0,1.0,0.0
28,7.0,0.0,0.0,0.0,0.0,0.0,1.0
29,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,3.0,0.0,1.0,0.0,0.0,0.0,0.0
31,1.0,1.0,0.0,1.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,9.0,1.0,0.0,0.0,0.0,0.0,0.0
34,9.0,1.0,0.0,0.0,0.0,1.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,1.0,0.0,1.0,0.0,0.0,0.0,0.0
37,0.0,1.0,0.0,1.0,0.0,0.0,1.0
38,10.0,1.0,0.0,0.0,0.0,0.0,0.0
39,1.0,1.0,0.0,1.0,0.0,0.0,1.0
40,7.0,0.0,0.0,0.0,0.0,0.0,0.0
41,7.0,1.0,0.0,0.0,0.0,0.0,1.0
