,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,0.0,1.0
3,8.0,1.0,0.0,0.0,0.0,0.0
4,3.0,1.0,0.0,0.0,0.0,1.0
5,1.0,0.0,0.0,0.0,0.0,0.0
6,2.0,1.0,0.0,0.0,0.0,1.0
7,4.0,0.0,0.0,0.0,0.0,0.0
8,2.0,0.0,0.0,0.0,1.0,0.0
9,0.0,1.0,0.0,1.0,0.0,0.0
10,3.0,1.0,0.0,1.0,0.0,0.0
11,2.0,0.0,1.0,0.0,0.0,1.0
12,1.0,0.0,0.0,0.0,0.0,1.0
13,1.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,1.0,0.0,0.0,0.0
16,13.0,1.0,0.0,0.0,0.0,0.0
17,1.0,0.0,1.0,0.0,0.0,0.0
18,7.0,1.0,0.0,0.0,0.0,0.0
19,1.0,0.0,0.0,1.0,0.0,0.0
20,14.0,1.0,0.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0,0.0,0.0
22,7.0,0.0,0.0,0.0,0.0,0.0
23,14.0,1.0,0.0,0.0,1.0,0.0
24,5.0,0.0,1.0,0.0,0.0,1.0
25,2.0,1.0,0.0,0.0,0.0,0.0
26,0.0,1.0,0.0,1.0,0.0,0.0
27,0.0,0.0,1.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,11.0,1.0,0.0,0.0,0.0,0.0
30,3.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,1.0,0.0,0.0
32,3.0,0.0,0.0,0.0,0.0,0.0
33,22.0,1.0,0.0,0.0,0.0,0.0
34,1.0,1.0,0.0,1.0,0.0,0.0
35,5.0,1.0,0.0,1.0,0.0,0.0
36,2.0,0.0,0.0,0.0,0.0,1.0
37,3.0,1.0,0.0,0.0,0.0,0.0
38,3.0,1.0,0.0,1.0,0.0,1.0
39,1.0,1.0,0.0,0.0,0.0,0.0
40,1.0,1.0,0.0,1.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,1.0
42,1.0,1.0,0.0,1.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,1.0,0.0,0.0,1.0,0.0,0.0
46,1.0,0.0,0.0,0.0,0.0,1.0
47,7.0,1.0,0.0,0.0,0.0,0.0
48,0.0,0.0,1.0,0.0,0.0,1.0
49,15.0,1.0,0.0,0.0,0.0,0.0
50,2.0,1.0,1.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,2.0,1.0,0.0,1.0,0.0,0.0
53,2.0,0.0,0.0,0.0,0.0,0.0
54,1.0,1.0,0.0,1.0,0.0,0.0
55,0.0,0.0,0.0,1.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
57,7.0,1.0,0.0,0.0,0.0,0.0
58,1.0,0.0,0.0,1.0,0.0,1.0
59,0.0,1.0,0.0,1.0,1.0,1.0
60,3.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,1.0
63,12.0,1.0,0.0,0.0,1.0,0.0
64,2.0,1.0,0.0,0.0,1.0,1.0
65,3.0,0.0,0.0,0.0,0.0,1.0
66,0.0,0.0,0.0,0.0,0.0,1.0
67,0.0,0.0,0.0,0.0,1.0,1.0
68,4.0,0.0,0.0,1.0,0.0,1.0
69,0.0,0.0,1.0,0.0,0.0,1.0
70,3.0,1.0,0.0,0.0,0.0,0.0
71,1.0,0.0,0.0,0.0,0.0,0.0
72,2.0,0.0,0.0,0.0,0.0,1.0
73,4.0,0.0,1.0,0.0,1.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0
75,3.0,0.0,1.0,0.0,0.0,1.0
76,0.0,0.0,1.0,0.0,1.0,1.0
