Alpha,Loss YCF Y,ATE YCF Y,Loss YCF MANUAL,ATE YCF MANUAL,Loss YCF RAND,ATE YCF RAND
0.0,19.03411293029785,2.157563674155347,49.19959259033203,1.1515787198723006,1015.68798828125,-0.32471581298961405
0.033,18.565994262695312,2.166284187127604,48.36217498779297,1.1492619583024855,906.287109375,-0.4726034213670496
0.066,18.689071655273438,2.111988228148613,47.644065856933594,1.2263197146107325,889.6944580078125,-0.38916292179132417
0.1,18.552927017211914,2.1046084500383593,46.65032958984375,1.2557844488418026,837.432861328125,-0.3620557153450158
0.2,18.691308975219727,2.0985255101224736,41.1979866027832,1.3660799748485517,692.571533203125,-0.13008976056657484
0.3,18.748804092407227,2.1323591921645986,36.122100830078125,1.4731075948335008,507.56048583984375,0.0710722361957552
0.4,18.452129364013672,2.1780628719456807,31.836925506591797,1.5170058690681025,364.5700988769531,0.2944450708177553
0.5,18.358034133911133,2.144412686795011,29.0709171295166,1.6891135982906316,282.6343994140625,0.2782424394900809
0.6,18.525419235229492,2.1670019060173167,26.637378692626953,1.739124176591687,170.9700164794922,0.6199143850300739
0.7,18.577770233154297,2.07492508685081,23.0576171875,1.887349044306506,110.36475372314453,0.7390056640661484
0.8,18.649948120117188,2.12140593398682,21.26392364501953,2.0741442826237053,73.67561340332031,1.1655144747718953
0.9,18.726518630981445,2.131925771411583,19.603288650512695,2.0754796682034633,28.410266876220703,1.7447860940091884
1.0,18.683807373046875,2.2176805885503805,18.562307357788086,2.074265960392431,18.715810775756836,2.1020803202160545
