Alpha_Ganite,Alpha,Loss YCF Ganite,ATE YCF Ganite
-10,0.0,7.038295269012451,9.66573464796201
-10,0.033,6.551241874694824,9.642665722832733
-10,0.066,6.056241512298584,9.632144929745307
-10,0.1,5.618348121643066,9.539388619556755
-10,0.2,5.719115734100342,9.727974198029012
-10,0.3,4.750768661499023,9.700464599022148
-10,0.4,4.6107048988342285,9.241995551686434
-10,0.5,4.600396633148193,9.580706226333792
-10,0.6,4.313208103179932,9.496516272202301
-10,0.7,4.232693672180176,9.318530410028332
-10,0.8,4.145419120788574,9.329249901873617
-10,0.9,4.376034259796143,9.518319956908043
-10,1.0,4.257941722869873,9.314302806784122
-9,0.0,7.764281749725342,9.85834685500833
-9,0.033,6.808561325073242,9.400539876676854
-9,0.066,6.5822672843933105,9.980479151505394
-9,0.1,7.1825337409973145,9.778510562100003
-9,0.2,5.955348968505859,9.288147211102128
-9,0.3,5.336822032928467,9.614111022867485
-9,0.4,4.736855983734131,9.824481793730474
-9,0.5,5.0502705574035645,9.11117415963708
-9,0.6,4.836204528808594,9.70680392265787
-9,0.7,4.591835975646973,9.589365622136743
-9,0.8,4.198614597320557,9.541427623048083
-9,0.9,4.168807506561279,9.458657948813016
-9,1.0,4.062250137329102,9.349496248659037
-8,0.0,68.64698791503906,12.75624501291883
-8,0.033,71.69792938232422,12.694099676230266
-8,0.066,52.669952392578125,12.378525670101267
-8,0.1,55.55620193481445,12.713737133000503
-8,0.2,45.73060989379883,12.123324856268118
-8,0.3,33.57215118408203,11.948739570393824
-8,0.4,23.719146728515625,11.385228692173564
-8,0.5,23.2354679107666,11.068249592602573
-8,0.6,15.762015342712402,10.690724673607498
-8,0.7,8.52202320098877,10.476601107243567
-8,0.8,7.003079891204834,9.94138714176471
-8,0.9,4.781757354736328,9.491372164009945
-8,1.0,4.083715915679932,9.467170350989953
-7,0.0,5.237123966217041,9.947744911636265
-7,0.033,4.602420806884766,9.696297374407317
-7,0.066,4.567838191986084,10.00912107748239
-7,0.1,4.594051837921143,10.080069190230521
-7,0.2,4.885330677032471,9.687868415512462
-7,0.3,4.293002605438232,9.54666933384826
-7,0.4,4.326516151428223,9.613855295687324
-7,0.5,4.365372657775879,9.890187376924803
-7,0.6,4.202198505401611,9.555388886409185
-7,0.7,4.2263312339782715,9.562082688202349
-7,0.8,4.236334800720215,9.56322123663643
-7,0.9,4.423731803894043,9.164571132760367
-7,1.0,3.9966959953308105,9.382854221274833
-6,0.0,10.252291679382324,8.410921792724903
-6,0.033,11.703269958496094,8.325598525069179
-6,0.066,10.200080871582031,8.35922594897587
-6,0.1,8.896284103393555,8.272823343431575
-6,0.2,8.306306838989258,8.284730907564791
-6,0.3,7.621921062469482,8.685815786819479
-6,0.4,7.018119812011719,8.745192798324808
-6,0.5,5.980669975280762,8.663005706193333
-6,0.6,5.2906060218811035,9.006384315131937
-6,0.7,4.68289852142334,9.183925043206148
-6,0.8,4.5841193199157715,9.077646892978223
-6,0.9,4.076554298400879,9.182795445775177
-6,1.0,4.450118064880371,9.614913879496651
-5,0.0,8.129305839538574,8.223451091526824
-5,0.033,7.363802909851074,8.188818032432915
-5,0.066,7.024716377258301,8.265127952762208
-5,0.1,7.429365158081055,8.340448621747402
-5,0.2,6.746401786804199,8.42952483249368
-5,0.3,5.6265716552734375,8.634957444362833
-5,0.4,5.859645366668701,8.752346044079598
-5,0.5,4.784139156341553,8.898485061562054
-5,0.6,4.982308864593506,8.831990895371247
-5,0.7,4.475897789001465,9.252830980933625
-5,0.8,4.269233703613281,9.204684900157242
-5,0.9,4.152617454528809,9.324646746058322
-5,1.0,4.037590503692627,9.520144046120643
-4,0.0,4.797574996948242,9.432946524731294
-4,0.033,4.905043601989746,9.502531405687805
-4,0.066,4.9922990798950195,9.51634016010817
-4,0.1,6.295198917388916,9.181534775429906
-4,0.2,4.845398902893066,9.332697856675582
-4,0.3,4.681085109710693,9.433711290314424
-4,0.4,4.4126362800598145,9.241897227667593
-4,0.5,4.425213813781738,9.501138535678244
-4,0.6,4.66303014755249,9.384297514141092
-4,0.7,4.259772300720215,9.606991725536679
-4,0.8,4.681055068969727,9.270521769125248
-4,0.9,4.310877323150635,9.365408623339704
-4,1.0,4.430686950683594,9.358572011753251
-3,0.0,11.637988090515137,8.694993539466966
-3,0.033,10.812058448791504,8.750296523838772
-3,0.066,10.613731384277344,8.764913100856077
-3,0.1,9.653854370117188,8.773376904353235
-3,0.2,8.438437461853027,8.903937976829805
-3,0.3,7.409326076507568,9.096340776911372
-3,0.4,6.882503986358643,8.969298950766486
-3,0.5,6.343062877655029,9.00528771287367
-3,0.6,5.107241153717041,9.126215473096492
-3,0.7,4.76930570602417,9.26681537648559
-3,0.8,4.2842230796813965,9.455159096697361
-3,0.9,4.184149742126465,9.35989294541474
-3,1.0,4.489295482635498,9.41963365281351
-2,0.0,8.962242126464844,9.890975144881136
-2,0.033,7.006659984588623,9.732384966744565
-2,0.066,7.722253799438477,9.790323149986857
-2,0.1,7.380940914154053,9.958408278919924
-2,0.2,7.486536502838135,9.7883754103615
-2,0.3,7.012471675872803,9.706670431544502
-2,0.4,5.577327728271484,9.659187544089257
-2,0.5,5.073174953460693,9.64094130478146
-2,0.6,4.831686019897461,9.386961128727313
-2,0.7,5.327613830566406,9.446078177596142
-2,0.8,4.239990234375,9.339293354987502
