Alpha,Loss YCF Y,ATE YCF Y,Loss YCF MANUAL,ATE YCF MANUAL,Loss YCF RAND,ATE YCF RAND
0.0,3.9561898708343506,9.963072307622461,46.01789093017578,-2.980682887340475,990.4267578125,-0.8431348220176442
0.033,4.040551662445068,9.861160070187719,43.94236755371094,-2.6150234057712263,988.243408203125,-1.8760350319827588
0.066,3.9582929611206055,9.86583500091265,39.91933822631836,-2.209646801238029,823.7373657226562,-2.934909672103473
0.1,4.279942989349365,9.937028372622017,38.53823471069336,-1.7688859231859904,812.27294921875,-1.0120648555323195
0.2,4.008110523223877,9.929669309610054,31.205928802490234,-0.5201257324400297,631.8538208007812,0.451248518444328
0.3,4.087873935699463,9.858574266727267,23.344470977783203,0.9136622842530859,517.4935913085938,0.8593669685117786
0.4,3.983806848526001,9.85009004344147,19.606496810913086,2.184167764853344,341.617431640625,3.071518571539265
0.5,4.057785987854004,10.012700444613461,13.981095314025879,3.382339964311011,268.4473571777344,3.258300255581701
0.6,4.2194061279296875,9.939809635755926,11.206483840942383,4.8326275544330555,193.3299102783203,3.522373291075179
0.7,4.15514612197876,9.996552017143618,7.9593329429626465,6.12816985514696,74.77137756347656,4.651164160109111
0.8,4.2811431884765625,9.845016784156345,6.1198296546936035,7.384344442914947,37.9445686340332,6.459750039622975
0.9,4.3069682121276855,9.81726733516425,4.8077239990234375,8.661434751490102,15.395048141479492,8.235768415433178
1.0,4.473287105560303,10.014303483087438,4.065286636352539,9.95556787744773,4.032715797424316,9.978914496410994
